outer	group	action	C	threshold	inner_ba	inner_brier	coefficient_norm
2025-01-10-18-31-44	duration	insert	1.0	0.75	0.5213585434173669	0.1825961574482028	0.2737835755063865
2025-01-10-18-31-44	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-10-18-31-44	state	pick	1.0	0.99	0.7738095238095238	0.04731320076062575	2.0582951230439015
2025-01-10-18-31-44	state	insert	1.0	0.65	0.7727591036414566	0.13285623134199687	1.2733480701274782
2025-01-10-18-31-44	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-10-18-31-44	force	pick	0.01	0.5	0.5	0.044572567978244465	0.11912287011416772
2025-01-10-18-31-44	force	insert	10.0	0.75	0.7009803921568627	0.16806158720541264	5.827536919636925
2025-01-10-18-31-44	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-10-18-31-44	state_force	pick	0.1	0.99	0.5833333333333334	0.044443507093691964	0.5642796517692839
2025-01-10-18-31-44	state_force	insert	10.0	0.35	0.7619047619047619	0.1354641059052393	6.729674664899973
2025-01-10-18-31-44	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-10-18-31-44	state_force_duration	pick	0.1	0.99	0.5833333333333334	0.044473781476929854	0.5647037357822972
2025-01-10-18-31-44	state_force_duration	insert	10.0	0.35	0.7619047619047619	0.13551167619198445	6.731406939990375
2025-01-10-18-31-44	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-10-18-31-44	state_force_peak	pick	1.0	0.99	0.7678571428571428	0.04725330349596745	2.0466508906513727
2025-01-10-18-31-44	state_force_peak	insert	10.0	0.65	0.7563025210084033	0.1420521707574277	4.074499197936888
2025-01-10-18-31-44	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-11-11-35-53	duration	pick	10.0	0.95	0.5376344086021505	0.05781445802096557	0.4477404498875585
2025-01-11-11-35-53	duration	insert	1.0	0.7	0.5161483253588517	0.17497269011534547	0.3281052762567367
2025-01-11-11-35-53	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-11-11-35-53	state	pick	10.0	0.99	0.6182795698924731	0.06931839982723692	2.211737298050134
2025-01-11-11-35-53	state	insert	1.0	0.55	0.7888755980861244	0.12043594938646833	1.576538615325534
2025-01-11-11-35-53	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-11-11-35-53	force	pick	10.0	0.15	0.5833333333333334	0.06468584519392688	3.4247363204574386
2025-01-11-11-35-53	force	insert	10.0	0.8	0.6794258373205742	0.15787840753307347	6.010031531510921
2025-01-11-11-35-53	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
2025-01-11-11-35-53	state_force	pick	0.1	0.975	0.5618279569892474	0.05994629851031528	0.5644003915648436
2025-01-11-11-35-53	state_force	insert	0.1	0.6	0.7529904306220095	0.12774035503961825	0.7905589843734641
2025-01-11-11-35-53	state_force	remove	0.1	0.8	0.6909722222222222	0.08239101389581832	0.5730921157684434
2025-01-11-11-35-53	state_force_duration	pick	0.1	0.975	0.5618279569892474	0.05998610688286597	0.5645318742221344
2025-01-11-11-35-53	state_force_duration	insert	1.0	0.6	0.7464114832535884	0.1206773553213123	2.368082653264617
2025-01-11-11-35-53	state_force_duration	remove	0.1	0.8	0.6909722222222222	0.08248217442390508	0.5732955703254426
2025-01-11-11-35-53	state_force_peak	pick	1.0	0.95	0.6102150537634409	0.05993832154326585	1.4172738593540601
2025-01-11-11-35-53	state_force_peak	insert	1.0	0.5	0.7661483253588517	0.12579669592239376	1.6895241157320897
2025-01-11-11-35-53	state_force_peak	remove	0.1	0.85	0.7402777777777778	0.0789995544455999	0.5240552833829761
2025-01-11-15-35-08	duration	pick	10.0	0.95	0.5189003436426116	0.05645941669504236	0.32669451136072136
2025-01-11-15-35-08	duration	insert	0.1	0.75	0.5999472573839661	0.17590897539742487	0.29708467735748656
2025-01-11-15-35-08	duration	remove	0.01	0.5	0.5	0.09413995966707124	0.0015398961765804573
2025-01-11-15-35-08	state	pick	0.1	0.975	0.5300687285223368	0.05660289902837654	0.4019764709113926
2025-01-11-15-35-08	state	insert	1.0	0.55	0.7853375527426161	0.12437730750386758	1.1921625793336093
2025-01-11-15-35-08	state	remove	0.1	0.9	0.7520833333333333	0.0768394809181062	0.5072899928991609
2025-01-11-15-35-08	force	pick	10.0	0.5	0.5781786941580757	0.06084369027223794	3.4976753928758653
2025-01-11-15-35-08	force	insert	10.0	0.8	0.712289029535865	0.15917272229204105	6.307230696236203
2025-01-11-15-35-08	force	remove	10.0	0.55	0.5923611111111111	0.10899124425544726	4.664061768200397
