name	compress_type	compressed_bytes	uncompressed_bytes	header_offset	crc32	flag_bits
data/	0	0	0	0	00000000	0
data/2025-01-09-14-28-47.h5	8	717378111	3083371092	67	e372414b	8
data/2025-01-09-13-59-54.h5	8	749570406	3268349083	717378283	db7447b1	8
data/2025-01-11-11-35-53.h5	8	317210941	1376410768	1466948794	88c039cc	8
data/2025-01-11-13-46-54.h5	8	472148561	2009386634	1784159840	44e3b749	8
data/2025-01-13-15-50-28.h5	8	604347889	2742541882	2256308506	701ae4fa	8
data/2025-01-13-17-02-10.h5	8	299148060	1355669125	2860656500	aaae299d	8
data/2025-01-09-15-49-10.h5	8	515221354	2366932129	3159804665	4e4e6d59	8
data/2025-01-10-16-30-49.h5	8	417889466	1899589409	3675026124	0a1a1bbc	8
data/2025-01-13-18-53-43.h5	8	328124706	1500248969	4092915695	eb4120a6	8
data/2025-01-13-10-14-56.h5	8	464275113	2184367969	4421040506	729f5443	8
data/2025-01-13-18-32-31.h5	8	497136489	2173244164	4885315724	3ee98c00	8
data/2025-01-13-11-16-17.h5	8	166146072	779730941	5382452318	cac35c52	8
data/2025-01-10-16-29-00.h5	8	99377321	436249476	5548598495	cd7431d2	8
data/2025-01-13-19-19-46.h5	8	667804840	3013899911	5647975921	51bf7081	8
data/2025-01-09-19-28-18.h5	8	150346853	680000833	6315780866	358fe866	8
data/2025-01-10-18-31-44.h5	8	608549250	2646890187	6466127824	86f6557a	8
data/2025-01-11-15-27-19.h5	8	283908958	1279621445	7074677179	bc1dc26f	8
data/2025-01-14-12-05-01.h5	8	389690814	1819979888	7358586242	0f13dd4c	8
data/2025-01-09-17-23-07.h5	8	714206055	3128882436	7748277161	31447cd6	8
data/2025-01-14-11-19-51.h5	8	618175225	2794293475	8462483321	f461efae	8
data/2025-01-09-18-52-39.h5	8	591008282	2566237483	9080658651	c592fc7c	8
data/2025-01-11-11-55-48.h5	8	183956720	840934992	9671667038	699dfd04	8
data/2025-01-10-16-19-15.h5	8	685242389	3057422102	9855623863	0c3129bc	8
data/2025-01-11-15-35-08.h5	8	206364858	904787849	10540866357	f669f57d	8
data/2025-01-11-14-54-27.h5	8	333881704	1489474411	10747231320	7e7256ac	8
data/2025-01-09-19-14-15.h5	8	42582966	182430491	11081113129	ebbacb32	8
data/2025-01-11-14-22-09.h5	8	370970967	1690374606	11123696200	e8b86f89	8
data/2025-01-09-19-24-18.h5	8	266763440	1233126679	11494667272	d1a1ae5b	8
data/2025-01-11-14-04-40.h5	8	135332444	508163673	11761430817	23ae80e5	8
data/2025-01-10-15-39-56.h5	8	30094802	133675078	11896763366	7f129bc7	8
data/2025-01-11-11-59-40.h5	8	581078662	2576251000	11926858273	4d966abd	8
data/2025-01-09-15-37-27.h5	8	619203909	2725492040	12507937040	53be6d23	8
data/2025-01-13-19-29-01.h5	8	320372691	1507232215	13127141054	692cab28	8
data/2025-01-13-11-07-43.h5	8	658496004	3039806256	13447513850	b76d86b1	8
